0.00280827   0.469319   
0.00462907   0.496235   
0.00654437   0.505582   
0.00853997   0.574881   
0.0100911   0.579051   
0.0120050   0.595634   
0.0139185   0.615317   
0.0158317   0.636034   
0.0176553   0.647447   
0.0196634   0.648528   
0.0216711   0.651676   
0.0234982   0.644483   
0.0253250   0.638325   
0.0274257   0.632172   
0.0292530   0.623946   
0.0308033   0.632252   
0.0327258   0.602322   
0.0347345   0.600302   
0.0365663   0.567270   
0.0385772   0.552847   
0.0404086   0.521882   
0.0422360   0.512622   
