0.00162973    -0.0903891    
0.00245090    -0.107014    
0.00354935    -0.113722    
0.00437281    -0.120410    
0.00519741    -0.122128    
0.00639173    -0.110624    
0.00712887    -0.0941158    
0.00804972    -0.0759655    
0.00897210    -0.0511900    
0.0100778    -0.0264283    
0.0109085    -0.00164595    
0.0120150    0.0264283    
0.0128457    0.0512107    
0.0148723    0.0941227    
0.0173595    0.146938    
0.0182780    0.155150    
0.0192894    0.168325    
0.0202068    0.171569    
0.0211219    0.164874    
0.0221295    0.161486    
0.0231340    0.144847    
0.0240518    0.149747    
0.0259714    0.126414    
0.0271611    0.118042    
0.0278910    0.103081    
0.0288031    0.0831359    
0.0295326    0.0665177    
0.0307196    0.0465524    
0.0316298    0.0183263    
0.0323566    -0.00988604    
0.0333588    -0.0364628    
0.0341785    -0.0597131    
0.0352731    -0.0829841    
0.0372832    -0.111293    
0.0381052    -0.124606    
0.0391112    -0.134619    
0.0396631    -0.126379    
0.0406737    -0.116517    
0.0417760    -0.106662    
0.0425127    -0.0918108    
0.0437964    -0.0902511    
